street,number,zip,city,lat,lng
Jacques Urlusstraat,11,2202SM,Noordwijk,52.24754171757788,4.43917721337471
Magazijnweg,1B,2404CE,Alphen aan den Rijn,52.13111578758502,4.63838772553225
Antonie de Vriesstraat,18m,1544WD,Zaandijk,52.47272534819231,4.801012108339599
Haarlemmerweg,2013,1051LD,Amsterdam,52.38524763616752,4.870379138508846
Biesven,4a,5595DD,Leende,51.35174416290241,5.547331904863951
Loolaan,27120,7314AC,Apeldoorn,52.22065338138232,5.953877104999646
Hoornbloem,18,7443TE,Nijverdal,52.37647013134803,6.474576204525021
Rietweye,14,3218XN,Heenvliet,51.86356799827045,4.23798533436986
Gaudikade,405,2132HD,Hoofddorp,52.29714847776213,4.7067735971728855
Daal en Bergselaan,44,2565AD,'s-Gravenhage,52.07579024911263,4.251827808384052
Adama van Scheltemastraat,2,6824NL,Arnhem,51.99413725344807,5.948164144849367
Anky van Grunsvenpad,9,3118JL,Schiedam,51.91951261499947,4.374497771515783
Jongsmalaan,27,7773BE,Hardenberg,52.58042414732549,6.598438797773026
Merwijckstraat,15a,5975SM,Sevenum,51.411576454326486,6.044001312825702
Louis Davidsstraat,1,6708NN,Wageningen,51.98280228874317,5.651437415995422
Fort de Roverweg,13,4661PT,Halsteren,51.52549359515504,4.287768577020866
De Himmen,28,8618NR,Oosthem,53.01471357012943,5.602520911609116
Eduard Schilderinkstraat,344,7002JS,Doetinchem,51.97163892537242,6.314074055258248
Voorstreek,71,9101BC,Dokkum,53.326598000490335,5.986975610787384
Lamsoor,9,4341RW,Arnemuiden,51.51598584399673,3.710009796600539
